url,date,country,reason_for_exclusion
https://japan.kantei.go.jp/101_kishida/statement/202208/_00012.html,"August 26, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202208/_00013.html,"August 26, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202208/_00020.html,"August 27, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202208/_00029.html,"August 28, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0004.html,"August 31, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0037.html,"August 26, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0013.html,"September 4, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0038.html,"September 28, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0051.html,"September 23, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202210/_00001.html,"October 4, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202210/_00005.html,"October 17, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202210/_00006.html,"October 19, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202210/_00021.html,"October 30, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202210/_00022.html,"October 31, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202210/_00024.html,"October 31, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0011.html,"July 12, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0018.html,"September 3, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0026.html,"October 31, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0043.html,"September 21, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202211/_00001.html,"November 3, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202211/_00002.html,"November 3, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202211/_00012.html,"November 30, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202211/_00013.html,"November 30, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0028.html,"August 2, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0034.html,"March 7, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0035.html,"September 23, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0042.html,"September 6, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0047.html,"September 21, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0065.html,"September 3, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0070.html,"August 18, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0024.html,"August 28, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0098.html,"October 1, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202301/_00007.html,"January 19, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202301/_00011.html,"January 26, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0039.html,"February 5, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0041.html,"July 11, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0046.html,"May 2, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0052.html,"September 22, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202302/_00001.html,"February 6, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202302/_00002.html,"February 17, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202302/_00003.html,"February 18, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202302/_00006.html,"February 20, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0072.html,"December 1, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0091.html,"August 24, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202303/_00001.html,"March 6, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202303/_00002.html,"March 6, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202303/_00012.html,"March 19, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202303/_00014.html,"March 21, 2023",japan,NOT_HISTORY_RELATED
